financial_year,simd_quintile,age_group,total,year,time,appropriate,large,small,total_births,prop_small,prop_appropriate,prop_large,success_small,failure_small
2009/10,5,35 and over,2695,2009,12,2108,462,113,2683,0.04211703317182259,0.7856876630637346,0.17219530376444278,113,2570
2009/10,5,Under 25,864,2009,12,707,97,57,861,0.06620209059233449,0.8211382113821138,0.11265969802555169,57,804
2010/11,1,25-34,7245,2010,13,5846,849,533,7228,0.0737410071942446,0.8087991145545103,0.11745987825124515,533,6695
2010/11,1,35 and over,1615,2010,13,1259,201,153,1613,0.09485430874147552,0.7805331680099195,0.12461252324860508,153,1460
2010/11,1,Under 25,5621,2010,13,4523,476,611,5610,0.1089126559714795,0.8062388591800357,0.08484848484848485,611,4999
2010/11,2,25-34,6390,2010,13,5006,854,524,6384,0.08208020050125313,0.7841478696741855,0.1337719298245614,524,5860
2010/11,2,35 and over,1815,2010,13,1424,266,125,1815,0.06887052341597796,0.7845730027548209,0.1465564738292011,125,1690
2010/11,2,Under 25,3549,2010,13,2888,287,372,3547,0.10487736115026783,0.8142091908655201,0.08091344798421202,372,3175
2010/11,3,25-34,6144,2010,13,4931,839,363,6133,0.05918799934779064,0.8040110875591064,0.13680091309310288,363,5770
2010/11,3,35 and over,2183,2010,13,1677,369,130,2176,0.05974264705882353,0.7706801470588235,0.16957720588235295,130,2046
2010/11,3,Under 25,2290,2010,13,1866,215,207,2288,0.09047202797202797,0.8155594405594405,0.09396853146853147,207,2081
2010/11,4,25-34,5824,2010,13,4743,807,262,5812,0.045079146593255334,0.8160701995870613,0.13885065381968342,262,5550
2010/11,4,35 and over,2454,2010,13,1914,405,132,2451,0.05385556915544676,0.780905752753978,0.16523867809057527,132,2319
2010/11,4,Under 25,1513,2010,13,1260,134,118,1512,0.07804232804232804,0.8333333333333334,0.08862433862433862,118,1394
2010/11,5,25-34,5369,2010,13,4341,725,290,5356,0.05414488424197162,0.8104929051530994,0.13536221060492906,290,5066
2010/11,5,35 and over,2698,2010,13,2079,450,163,2692,0.060549777117384844,0.7722882615156018,0.16716196136701336,163,2529
2010/11,5,Under 25,795,2010,13,636,85,73,794,0.09193954659949623,0.801007556675063,0.1070528967254408,73,721
2011/12,1,25-34,7642,2011,14,6053,943,631,7627,0.08273239805952537,0.7936279008784581,0.12363970106201652,631,6996
2011/12,1,35 and over,1737,2011,14,1318,242,173,1733,0.0998268897864974,0.760530871321408,0.13964223889209462,173,1560
2011/12,1,Under 25,5365,2011,14,4376,483,497,5356,0.09279312920089619,0.8170276325616131,0.09017923823749066,497,4859
2011/12,2,25-34,6680,2011,14,5329,910,421,6660,0.06321321321321322,0.8001501501501501,0.13663663663663664,421,6239
2011/12,2,35 and over,1857,2011,14,1435,271,148,1854,0.07982740021574973,0.7740021574973032,0.14617044228694714,148,1706
2011/12,2,Under 25,3438,2011,14,2821,302,306,3429,0.08923884514435695,0.8226888305628464,0.08807232429279674,306,3123
